game_id,date,home,vis,pos,team,event,event_deets,block,ORL_desc,neut_desc,MIA_desc,ORL_score,MIA_score
0022100493,2021-12-26,ORL,MIA,MIA,MIA,fg_miss,79,False,MISS Butler 15' Pullup Jump Shot,,,,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,oreb,0,False,,,Harris REBOUND (Off:0 Def:1),,
0022100493,2021-12-26,ORL,MIA,MIA,ORL,foul,2,False,Yurtseven S.FOUL (P1.T2) (B.Taylor),,,,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,ft_make,11,False,,,MISS Gravett Free Throw 1 of 2,,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,oreb,1,False,,,Magic Rebound,,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,ft_make,12,False,,,Gravett Free Throw 2 of 2 (6 PTS),16,12
0022100493,2021-12-26,ORL,MIA,ORL,ORL,fg3_miss,1,False,MISS Butler 24' 3PT Jump Shot,,,,
0022100493,2021-12-26,ORL,MIA,ORL,MIA,dreb,0,False,,,Hampton REBOUND (Off:0 Def:1),,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,fg3_make,1,False,,,Harris 24' 3PT Jump Shot (9 PTS) (Hampton 1 AST),19,12
0022100493,2021-12-26,ORL,MIA,ORL,ORL,fg_miss,6,False,MISS Butler 1' Driving Layup,,,,
0022100493,2021-12-26,ORL,MIA,ORL,MIA,dreb,0,False,,,Ford REBOUND (Off:0 Def:1),,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,fg_make,79,False,,,Hampton 2' Pullup Jump Shot (2 PTS),21,12
0022100493,2021-12-26,ORL,MIA,ORL,ORL,timeout,1,False,HEAT Timeout: Regular (Full 2 Short 0),,,,
0022100493,2021-12-26,ORL,MIA,ORL,ORL,fg_miss,80,False,MISS Butler 16' Step Back Jump Shot,,,,
0022100493,2021-12-26,ORL,MIA,ORL,MIA,dreb,0,False,,,Ford REBOUND (Off:0 Def:2),,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,fg3_miss,1,False,,,MISS Ford 26' 3PT Jump Shot,,
0022100493,2021-12-26,ORL,MIA,MIA,ORL,dreb,0,False,Haslem REBOUND (Off:0 Def:1),,,,
0022100493,2021-12-26,ORL,MIA,ORL,ORL,fg_make,108,False,Butler 1' Cutting Dunk Shot (8 PTS) (Strus 2 AST),,,21,14
0022100493,2021-12-26,ORL,MIA,MIA,MIA,tov,4,False,,,Lopez Traveling Turnover (P1.T4),,
0022100493,2021-12-26,ORL,MIA,ORL,ORL,fg_make,1,False,Herro 16' Jump Shot (2 PTS) (Butler 1 AST),,,21,16
0022100493,2021-12-26,ORL,MIA,MIA,MIA,fg_miss,101,False,,,MISS Hampton 15' Driving Floating Jump Shot,,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,oreb,0,False,,,Lopez REBOUND (Off:1 Def:0),,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,fg_miss,97,False,,,MISS Lopez Tip Layup Shot,,
0022100493,2021-12-26,ORL,MIA,MIA,ORL,dreb,0,False,Butler REBOUND (Off:1 Def:1),,,,
0022100493,2021-12-26,ORL,MIA,ORL,ORL,fg_miss,1,False,MISS Haslem 15' Jump Shot,,,,
0022100493,2021-12-26,ORL,MIA,ORL,MIA,dreb,0,False,,,Ford REBOUND (Off:0 Def:3),,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,fg_miss,1,False,,,MISS Wagner 17' Jump Shot,,
0022100493,2021-12-26,ORL,MIA,MIA,ORL,dreb,0,False,Herro REBOUND (Off:0 Def:1),,,,
0022100493,2021-12-26,ORL,MIA,ORL,ORL,fg_make,50,False,Butler 1' Running Dunk (10 PTS) (Herro 1 AST),,,21,18
0022100493,2021-12-26,ORL,MIA,MIA,MIA,timeout,1,False,,,Magic Timeout: Regular (Reg.1 Short 0),,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,fg_miss,98,False,,,MISS Wagner 3' Cutting Layup Shot,,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,oreb,0,False,,,Carter Jr. REBOUND (Off:2 Def:3),,
0022100493,2021-12-26,ORL,MIA,MIA,ORL,foul,2,False,Haslem S.FOUL (P1.T3) (D.Mosher),,,,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,ft_make,11,False,,,MISS Carter Jr. Free Throw 1 of 2,,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,oreb,1,False,,,Magic Rebound,,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,ft_make,12,False,,,Carter Jr. Free Throw 2 of 2 (1 PTS),22,18
0022100493,2021-12-26,ORL,MIA,ORL,ORL,tov,1,False,Vincent Bad Pass Turnover (P2.T2),,Hampton STEAL (1 STL),,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,fg_make,50,False,,,Hampton 2' Running Dunk (4 PTS),24,18
0022100493,2021-12-26,ORL,MIA,ORL,ORL,fg_make,98,False,Haslem 1' Cutting Layup Shot (2 PTS) (Vincent 2 AST),,,24,20
0022100493,2021-12-26,ORL,MIA,MIA,MIA,tov,4,False,,,Carter Jr. Traveling Turnover (P2.T5),,
0022100493,2021-12-26,ORL,MIA,ORL,ORL,fg_make,5,False,Haslem 1' Layup (4 PTS) (Herro 2 AST),,,24,22
0022100493,2021-12-26,ORL,MIA,MIA,MIA,fg3_miss,1,False,,,MISS Carter Jr. 26' 3PT Jump Shot,,
0022100493,2021-12-26,ORL,MIA,MIA,ORL,dreb,0,False,Garrett REBOUND (Off:0 Def:1),,,,
0022100493,2021-12-26,ORL,MIA,ORL,ORL,fg_miss,47,False,MISS Herro 6' Turnaround Jump Shot,,,,
0022100493,2021-12-26,ORL,MIA,ORL,MIA,dreb,0,False,,,Carter Jr. REBOUND (Off:2 Def:4),,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,fg3_miss,1,False,,,MISS Hampton 26' 3PT Jump Shot,,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,oreb,0,False,,,Carter Jr. REBOUND (Off:3 Def:4),,
0022100493,2021-12-26,ORL,MIA,MIA,MIA,tov,45,False,,,Frazier Out of Bounds - Bad Pass Turnover Turnover (P1.T6),,
0022100493,2021-12-26,ORL,MIA,ORL,ORL,fg_miss,5,True,MISS Haslem 3' Layup,,,,
