home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
ATL,TOR,,,,,-165,145
CHI,MEM,,,,,115,-135
MIA,SA,,,,,-760,525
CLE,WAS,,,,,-320,250
MIL,BKN,,,,,-450,340
DEN,SAC,,,,,-335,260
NY,PHI,,,,,240,-305
PHO,UTA,,,,,-115,-105
IND,BOS,,,,,230,-290
DEN,SAC,,,,,-350,270
MIL,BKN,,,,,-435,330
CLE,WAS,,,,,-400,300
IND,BOS,,,,,245,-310
ATL,TOR,0,0,1,11:38,-170,140
ATL,TOR,0,0,1,11:25,-160,130
ATL,TOR,0,0,1,11:13,-150,120
ATL,TOR,0,2,1,10:40,-140,110
MIA,SA,,,,,-900,600
ATL,TOR,2,5,1,10:21,-140,110
ATL,TOR,2,7,1,10:00,-140,110
ATL,TOR,4,7,1,9:18,-150,120
ATL,TOR,7,7,1,9:07,-200,160
ATL,TOR,7,7,1,8:54,-200,160
ATL,TOR,10,7,1,8:21,-185,150
ATL,TOR,10,7,1,8:06,-210,165
ATL,TOR,12,7,1,7:39,-210,165
ATL,TOR,14,7,1,7:33,-235,180
ATL,TOR,14,7,1,7:17,-255,190
ATL,TOR,16,11,1,6:45,-220,170
ATL,TOR,18,11,1,6:39,-265,200
ATL,TOR,18,11,1,6:39,-220,170
