home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
ATL,TOR,78,62,3,7:53,-2000,900
CHI,MEM,42,54,2,2:16,340,-500
MIA,SA,54,58,2,2:42,-385,270
CLE,WAS,40,42,3,12:00,-185,150
MIL,BKN,23,23,1,1:51,-400,280
DEN,SAC,,,,,-350,270
NY,PHI,,,,,240,-305
PHO,UTA,,,,,-115,-105
IND,BOS,,,,,245,-310
ATL,TOR,78,62,3,7:47,-2000,900
CLE,WAS,40,42,3,12:00,-195,155
MIL,BKN,23,23,1,1:51,-435,300
ATL,TOR,80,62,3,7:41,-2400,1000
CHI,MEM,42,54,2,2:04,325,-475
MIA,SA,55,58,2,2:42,-450,310
CLE,WAS,40,42,3,12:00,-210,165
ATL,TOR,80,62,3,7:35,-2400,1000
CHI,MEM,42,54,2,2:09,325,-475
MIL,BKN,25,23,1,1:44,-475,325
DEN,SAC,,,,,-380,290
ATL,TOR,80,62,3,7:30,-2400,1000
MIA,SA,55,58,2,2:36,-450,310
MIL,BKN,25,23,1,1:40,-475,325
MIL,BKN,25,23,1,1:32,-475,325
ATL,TOR,80,62,3,7:30,-2000,900
CHI,MEM,43,54,2,2:09,310,-450
MIA,SA,55,58,2,2:29,-450,310
MIL,BKN,25,23,1,1:33,-475,325
ATL,TOR,80,62,3,7:25,-2000,900
CHI,MEM,44,54,2,2:09,310,-450
MIA,SA,55,58,2,2:16,-385,270
MIL,BKN,25,23,1,1:33,-450,310
ATL,TOR,80,62,3,7:19,-2800,1100
CHI,MEM,44,54,2,2:06,310,-450
MIA,SA,55,58,2,2:11,-385,270
MIL,BKN,25,23,1,1:20,-450,310
ATL,TOR,80,62,3,7:09,-2800,1100
CHI,MEM,44,54,2,1:59,310,-450
MIA,SA,55,58,2,2:04,-385,270
MIL,BKN,25,23,1,1:13,-450,310
ATL,TOR,80,62,3,7:09,-2000,900
CHI,MEM,44,56,2,1:52,325,-475
MIA,SA,57,58,2,1:56,-500,340
MIA,SA,57,58,2,1:49,-500,340
CHI,MEM,44,56,2,1:55,325,-475
MIA,SA,57,58,2,1:48,-600,385
MIL,BKN,25,24,1,1:13,-435,300
ATL,TOR,80,62,3,6:52,-2000,900
ATL,TOR,82,62,3,6:45,-3200,1200
CHI,MEM,44,56,2,1:40,375,-575
ATL,TOR,82,62,3,6:40,-3200,1200
CHI,MEM,44,56,2,1:36,375,-575
MIA,SA,57,58,2,1:50,-600,385
MIL,BKN,25,24,1,1:11,-435,300
ATL,TOR,82,62,3,6:38,-4000,1400
CHI,MEM,44,56,2,1:28,340,-500
MIL,BKN,25,24,1,1:08,-475,325
CHI,MEM,46,56,2,1:21,340,-500
MIA,SA,57,58,2,1:34,-600,385
MIL,BKN,25,24,1,1:01,-475,325
CHI,MEM,46,56,2,1:14,310,-450
ATL,TOR,82,62,3,6:32,-4000,1400
CHI,MEM,46,56,2,1:00,280,-400
MIA,SA,57,58,2,1:34,-725,450
CHI,MEM,46,56,2,0:55,280,-400
MIA,SA,58,58,2,1:34,-725,450
CHI,MEM,49,56,2,0:47,240,-330
MIL,BKN,26,24,1,1:01,-475,325
CHI,MEM,49,56,2,0:59,240,-330
MIA,SA,58,58,2,1:34,-775,475
ATL,TOR,84,62,3,6:22,-4000,1400
MIA,SA,58,58,2,1:32,-625,400
MIL,BKN,27,24,1,1:04,-500,340
ATL,TOR,84,62,3,6:18,-4000,1400
MIA,SA,58,58,2,1:30,-625,400
MIL,BKN,27,24,1,1:03,-500,340
CHI,MEM,49,56,2,0:29,240,-330
MIL,BKN,27,24,1,0:53,-500,340
ATL,TOR,84,62,3,5:57,-4500,1500
MIA,SA,58,58,2,1:05,-625,400
MIA,SA,58,58,2,0:59,-775,475
CHI,MEM,49,56,2,0:28,240,-330
MIA,SA,58,58,2,1:12,-775,475
CHI,MEM,49,59,2,0:25,300,-435
MIA,SA,58,58,2,1:07,-775,475
MIL,BKN,27,24,1,0:53,-475,325
CHI,MEM,49,59,2,0:18,300,-435
MIA,SA,58,58,2,0:58,-625,400
ATL,TOR,87,62,3,5:43,-4500,1500
CHI,MEM,49,59,2,0:14,300,-435
MIA,SA,58,58,2,0:49,-625,400
MIL,BKN,27,25,1,0:53,-475,325
ATL,TOR,87,62,3,5:39,-4500,1500
CHI,MEM,52,59,2,0:06,220,-300
MIA,SA,58,58,2,0:43,-775,475
MIL,BKN,27,25,1,0:50,-475,325
CHI,MEM,52,59,2,0:03,240,-330
MIA,SA,60,58,2,0:39,-1050,600
MIL,BKN,30,25,1,0:40,-550,360
ATL,TOR,87,62,3,5:24,-4500,1500
CHI,MEM,52,59,2,,240,-330
MIA,SA,60,58,2,0:39,-1300,700
MIL,BKN,30,25,1,0:42,-550,360
ATL,TOR,89,62,3,5:17,-4500,1500
CHI,MEM,52,59,3,12:00,230,-315
MIA,SA,60,58,2,0:39,-1150,650
MIL,BKN,30,25,1,0:34,-550,360
ATL,TOR,89,62,3,5:13,-4500,1500
MIL,BKN,30,25,1,0:30,-600,385
MIA,SA,61,58,2,0:39,-1450,750
MIL,BKN,30,25,1,0:19,-600,385
ATL,TOR,89,62,3,5:00,-4500,1500
MIA,SA,61,58,2,0:36,-1300,700
MIL,BKN,30,25,1,0:19,-625,400
MIA,SA,61,58,2,0:27,-1300,700
