home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
WAS,DET,,,,,-150,130
BOS,ATL,,,,,-260,210
TOR,BKN,,,,,-365,280
MIN,GS,,,,,130,-150
HOU,LA,,,,,230,-290
LA,DAL,,,,,170,-200
WAS,DET,,,,,-155,135
HOU,LA,,,,,225,-280
BOS,ATL,,,,,-250,200
WAS,DET,,,,,-155,125
WAS,DET,0,0,1,11:42,-155,125
WAS,DET,2,3,1,11:06,-140,110
WAS,DET,4,3,1,10:35,-170,140
WAS,DET,6,3,1,10:05,-185,150
WAS,DET,6,4,1,9:58,-160,130
WAS,DET,6,5,1,9:49,-160,130
WAS,DET,9,7,1,9:18,-170,140
WAS,DET,9,7,1,8:55,-175,145
WAS,DET,9,7,1,8:22,-185,150
WAS,DET,9,9,1,7:59,-160,130
WAS,DET,9,9,1,7:49,-175,145
WAS,DET,11,9,1,7:35,-185,150
WAS,DET,11,11,1,7:27,-160,130
WAS,DET,11,13,1,6:51,-145,115
WAS,DET,13,15,1,6:21,-160,130
WAS,DET,13,15,1,6:21,-155,125
WAS,DET,16,15,1,5:48,-210,165
WAS,DET,16,15,1,5:22,-185,150
WAS,DET,16,17,1,5:07,-175,145
WAS,DET,18,17,1,4:34,-200,160
WAS,DET,20,17,1,4:06,-220,170
WAS,DET,23,19,1,3:31,-235,180
WAS,DET,23,19,1,3:25,-220,170
WAS,DET,23,19,1,3:25,-200,160
WAS,DET,23,19,1,3:25,-210,165
WAS,DET,23,19,1,3:18,-210,165
WAS,DET,23,19,1,2:55,-220,170
WAS,DET,23,19,1,2:47,-245,185
BOS,ATL,,,,,-265,200
WAS,DET,25,19,1,2:29,-245,185
WAS,DET,25,19,1,2:14,-265,200
WAS,DET,25,21,1,1:40,-220,170
WAS,DET,25,23,1,1:10,-185,150
WAS,DET,27,23,1,0:58,-195,155
WAS,DET,27,24,1,0:56,-200,160
WAS,DET,27,24,1,0:52,-200,160
WAS,DET,27,24,1,0:52,-255,190
BOS,ATL,,,,,-255,190
WAS,DET,27,24,1,0:52,-235,180
WAS,DET,27,24,1,0:19,-235,180
WAS,DET,27,24,2,12:00,-235,180
WAS,DET,27,24,2,12:00,-225,175
WAS,DET,27,24,2,12:00,-200,160
WAS,DET,27,24,2,11:58,-210,165
WAS,DET,29,24,2,11:27,-235,180
WAS,DET,29,26,2,11:04,-220,170
TOR,BKN,,,,,-330,240
WAS,DET,29,26,2,11:04,-235,180
WAS,DET,32,26,2,10:36,-315,230
TOR,BKN,0,0,1,11:40,-330,240
WAS,DET,32,26,2,10:15,-280,210
TOR,BKN,2,3,1,11:11,-400,280
WAS,DET,32,28,2,10:14,-255,190
TOR,BKN,3,3,1,11:09,-400,280
WAS,DET,35,31,2,9:39,-255,190
TOR,BKN,3,3,1,10:47,-400,280
MIN,GS,,,,,155,-180
WAS,DET,36,31,2,9:30,-265,200
TOR,BKN,3,3,1,10:15,-385,270
WAS,DET,37,33,2,9:03,-200,160
TOR,BKN,7,7,1,9:31,-350,250
WAS,DET,40,33,2,8:37,-300,220
TOR,BKN,9,7,1,8:52,-385,270
WAS,DET,40,35,2,8:22,-255,190
TOR,BKN,11,10,1,8:25,-385,270
WAS,DET,40,35,2,7:56,-255,190
TOR,BKN,13,13,1,7:53,-385,270
WAS,DET,40,35,2,7:49,-255,190
TOR,BKN,13,15,1,7:20,-350,250
WAS,DET,42,35,2,7:37,-280,210
TOR,BKN,15,15,1,6:48,-385,270
HOU,LA,,,,,220,-275
WAS,DET,42,35,2,7:31,-280,210
TOR,BKN,15,15,1,6:48,-370,260
BOS,ATL,0,0,1,11:56,-265,200
TOR,BKN,15,15,1,6:48,-330,240
BOS,ATL,2,0,1,11:15,-300,220
BOS,ATL,4,0,1,10:43,-315,230
BOS,ATL,6,0,1,10:19,-370,260
TOR,BKN,15,15,1,6:48,-315,230
BOS,ATL,4,0,1,9:59,-370,260
WAS,DET,42,35,2,7:20,-280,210
BOS,ATL,4,0,1,9:41,-330,240
TOR,BKN,15,16,1,6:36,-300,220
WAS,DET,42,35,2,7:10,-265,200
BOS,ATL,4,0,1,9:12,-315,230
TOR,BKN,17,16,1,6:12,-350,250
MIN,GS,,,,,150,-170
WAS,DET,44,37,2,7:02,-265,200
BOS,ATL,4,0,1,9:10,-315,230
TOR,BKN,19,18,1,5:45,-350,250
MIN,GS,,,,,145,-165
WAS,DET,46,37,2,6:31,-350,250
TOR,BKN,19,18,1,5:26,-385,270
WAS,DET,46,40,2,5:58,-290,215
TOR,BKN,22,18,1,5:00,-450,310
WAS,DET,46,43,2,5:30,-220,170
TOR,BKN,24,18,1,4:50,-550,360
WAS,DET,46,43,2,5:30,-235,180
TOR,BKN,25,18,1,4:47,-550,360
WAS,DET,49,43,2,5:24,-300,220
TOR,BKN,25,18,1,4:32,-500,340
WAS,DET,49,45,2,5:01,-245,185
TOR,BKN,27,18,1,3:58,-625,400
WAS,DET,50,45,2,5:01,-255,190
BOS,ATL,4,0,1,9:03,-330,240
TOR,BKN,27,18,1,3:54,-600,385
WAS,DET,50,45,2,4:46,-220,170
BOS,ATL,4,0,1,8:30,-315,230
TOR,BKN,27,21,1,3:26,-450,310
WAS,DET,50,45,2,4:30,-245,185
