home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline,date
PHI,CHI,101,88,4,7:07,-2000,900,2022-03-07
DET,ATL,92,90,4,3:34,-120,-110,2022-03-07
MIA,HOU,76,66,3,6:04,-4500,1500,2022-03-07
MIN,POR,51,31,2,3:34,-4500,1500,2022-03-07
SA,LA,31,22,2,11:00,-600,385,2022-03-07
DAL,UTA,30,24,2,11:49,-170,140,2022-03-07
DEN,GS,,,,,-350,250,2022-03-07
SAC,NY,,,,,-170,150,2022-03-07
MIA,HOU,76,66,3,6:03,-4500,1500,2022-03-07
MIN,POR,51,31,2,3:10,-4500,1500,2022-03-07
SA,LA,31,24,2,10:38,-525,350,2022-03-07
DAL,UTA,30,24,2,11:15,-165,135,2022-03-07
PHI,CHI,101,89,4,6:59,-2000,900,2022-03-07
MIA,HOU,76,66,3,5:25,-4500,1500,2022-03-07
MIN,POR,53,31,2,2:43,-4500,1500,2022-03-07
SA,LA,33,24,2,10:36,-550,360,2022-03-07
DAL,UTA,30,24,2,10:39,-185,150,2022-03-07
DEN,GS,0,0,1,11:51,-350,250,2022-03-07
PHI,CHI,101,89,4,6:17,-2000,900,2022-03-07
DET,ATL,94,92,4,3:00,-110,-120,2022-03-07
MIA,HOU,76,66,3,5:11,-4500,1500,2022-03-07
MIN,POR,55,31,2,2:16,-4500,1500,2022-03-07
SA,LA,35,24,2,10:05,-600,385,2022-03-07
DAL,UTA,33,24,2,10:10,-220,170,2022-03-07
DEN,GS,2,0,1,11:12,-400,280,2022-03-07
DET,ATL,96,95,4,2:29,120,-150,2022-03-07
MIA,HOU,76,66,3,4:44,-4500,1500,2022-03-07
SA,LA,35,24,2,10:00,-775,475,2022-03-07
DAL,UTA,36,24,2,9:32,-300,220,2022-03-07
DEN,GS,4,0,1,11:04,-475,325,2022-03-07
PHI,CHI,101,90,4,6:18,-2000,900,2022-03-07
DET,ATL,96,95,4,2:01,-120,-110,2022-03-07
MIA,HOU,78,66,3,4:14,-4500,1500,2022-03-07
SA,LA,35,26,2,9:39,-625,400,2022-03-07
DAL,UTA,37,24,2,9:00,-300,220,2022-03-07
DEN,GS,5,3,1,10:38,-420,290,2022-03-07
PHI,CHI,103,90,4,5:42,-2000,900,2022-03-07
DET,ATL,97,95,4,2:01,-120,-110,2022-03-07
MIN,POR,55,31,2,2:02,-4500,1500,2022-03-07
SA,LA,35,27,2,9:38,-550,360,2022-03-07
DAL,UTA,37,24,2,8:41,-350,250,2022-03-07
