game_id,date,home,vis,time,period,mins,secs,pos,team,event,event_deets,block,steal,home_desc,vis_desc,score,home_score,vis_score
0021600350,2016-12-10,CHI,MIA,0.0,1,12,0,,,period_start,0,False,False,,,0-0,0,0
0021600350,2016-12-10,CHI,MIA,0.0,1,12,0,,CHI,jump_ball,0,False,False,Jump Ball Lopez vs. Whiteside: Tip to Gibson,,0-0,0,0
0021600350,2016-12-10,CHI,MIA,0.3,1,11,42,CHI,CHI,fg_make,47,False,False,Wade 8' Turnaround Jump Shot (2 PTS),,2-0,2,0
0021600350,2016-12-10,CHI,MIA,0.73,1,11,16,MIA,MIA,fg_make,1,False,False,,Whiteside 12' Jump Shot (2 PTS) (Dragic 1 AST),2-2,2,2
0021600350,2016-12-10,CHI,MIA,1.05,1,10,57,CHI,CHI,fg_miss,58,False,False,MISS Gibson 3' Turnaround Hook Shot,,2-2,2,2
0021600350,2016-12-10,CHI,MIA,1.07,1,10,56,CHI,CHI,fg_miss,97,False,False,MISS Lopez 1' Tip Layup Shot,,2-2,2,2
0021600350,2016-12-10,CHI,MIA,1.07,1,10,56,CHI,CHI,reb,0,False,False,Lopez REBOUND (Off:1 Def:0),,2-2,2,2
0021600350,2016-12-10,CHI,MIA,1.1,1,10,54,CHI,CHI,fg_make,72,False,False,Gibson 2' Putback Layup (2 PTS),,4-2,4,2
0021600350,2016-12-10,CHI,MIA,1.1,1,10,54,CHI,CHI,reb,0,False,False,Gibson REBOUND (Off:1 Def:0),,2-2,2,2
0021600350,2016-12-10,CHI,MIA,1.32,1,10,41,MIA,MIA,fg_miss,42,True,False,,MISS Dragic 2' Driving Layup,4-2,4,2
0021600350,2016-12-10,CHI,MIA,1.32,1,10,41,MIA,CHI,block,42,True,False,block,block,4-2,4,2
0021600350,2016-12-10,CHI,MIA,1.33,1,10,40,CHI,CHI,reb,0,False,False,Gibson REBOUND (Off:1 Def:1),,4-2,4,2
0021600350,2016-12-10,CHI,MIA,1.42,1,10,35,CHI,CHI,fg_miss,79,False,False,MISS Rondo 19' Pullup Jump Shot,,4-2,4,2
0021600350,2016-12-10,CHI,MIA,1.43,1,10,34,MIA,MIA,reb,0,False,False,,Whiteside REBOUND (Off:0 Def:1),4-2,4,2
0021600350,2016-12-10,CHI,MIA,1.77,1,10,14,MIA,MIA,fg_miss,63,False,False,,MISS Ellington 9' Fadeaway Jumper,4-2,4,2
0021600350,2016-12-10,CHI,MIA,1.78,1,10,13,MIA,MIA,fg_miss,97,False,False,,MISS Whiteside 2' Tip Layup Shot,4-2,4,2
0021600350,2016-12-10,CHI,MIA,1.78,1,10,13,MIA,MIA,reb,0,False,False,,Whiteside REBOUND (Off:1 Def:1),4-2,4,2
0021600350,2016-12-10,CHI,MIA,1.8,1,10,12,CHI,CHI,reb,0,False,False,Lopez REBOUND (Off:1 Def:1),,4-2,4,2
0021600350,2016-12-10,CHI,MIA,1.93,1,10,4,CHI,CHI,fg_make,98,False,False,Rondo 3' Cutting Layup Shot (2 PTS) (Gibson 1 AST),,6-2,6,2
0021600350,2016-12-10,CHI,MIA,2.17,1,9,50,MIA,MIA,fg_make,1,False,False,,Whiteside 11' Jump Shot (4 PTS) (Dragic 2 AST),6-4,6,4
0021600350,2016-12-10,CHI,MIA,2.45,1,9,33,CHI,CHI,fg_make,86,False,False,Butler 11' Turnaround Fadeaway (2 PTS),,8-4,8,4
0021600350,2016-12-10,CHI,MIA,2.7,1,9,18,MIA,MIA,fg_make,108,False,False,,Whiteside Cutting Dunk Shot (6 PTS) (Dragic 3 AST),8-6,8,6
0021600350,2016-12-10,CHI,MIA,3.08,1,8,55,CHI,CHI,fg_miss,42,False,False,MISS Wade 2' Driving Layup,,8-6,8,6
0021600350,2016-12-10,CHI,MIA,3.12,1,8,53,CHI,CHI,fg_make,72,False,False,Gibson 3' Putback Layup (4 PTS) (Lopez 1 AST),,10-6,10,6
0021600350,2016-12-10,CHI,MIA,3.12,1,8,53,CHI,CHI,reb,0,False,False,Lopez REBOUND (Off:2 Def:1),,8-6,8,6
0021600350,2016-12-10,CHI,MIA,3.4,1,8,36,MIA,MIA,fg_miss,73,False,False,,MISS Dragic 2' Driving Reverse Layup,10-6,10,6
0021600350,2016-12-10,CHI,MIA,3.42,1,8,35,MIA,MIA,fg_make,72,False,False,,Whiteside 2' Putback Layup (8 PTS),10-8,10,8
0021600350,2016-12-10,CHI,MIA,3.42,1,8,35,MIA,MIA,reb,0,False,False,,Whiteside REBOUND (Off:2 Def:1),10-6,10,6
0021600350,2016-12-10,CHI,MIA,3.65,1,8,21,CHI,MIA,foul,2,False,False,,Ellington S.FOUL (P1.T1) (R.Mott),10-8,10,8
0021600350,2016-12-10,CHI,MIA,3.65,1,8,21,CHI,CHI,ft_make,11,False,False,Wade Free Throw 1 of 2 (3 PTS),,11-8,11,8
0021600350,2016-12-10,CHI,MIA,3.65,1,8,21,CHI,CHI,ft_miss,12,False,False,MISS Wade Free Throw 2 of 2,,11-8,11,8
0021600350,2016-12-10,CHI,MIA,3.7,1,8,18,MIA,MIA,reb,0,False,False,,McRoberts REBOUND (Off:0 Def:1),11-8,11,8
0021600350,2016-12-10,CHI,MIA,3.9,1,8,6,MIA,MIA,fg_make,63,False,False,,Dragic 11' Fadeaway Jumper (2 PTS),11-10,11,10
0021600350,2016-12-10,CHI,MIA,4.27,1,7,44,CHI,CHI,fg_miss,42,True,False,MISS Lopez 2' Driving Layup,,11-10,11,10
0021600350,2016-12-10,CHI,MIA,4.27,1,7,44,CHI,MIA,block,42,True,False,block,block,11-10,11,10
0021600350,2016-12-10,CHI,MIA,4.3,1,7,42,MIA,MIA,reb,0,False,False,,Ellington REBOUND (Off:0 Def:1),11-10,11,10
0021600350,2016-12-10,CHI,MIA,4.37,1,7,38,MIA,MIA,fg_make,73,False,False,,Dragic 2' Driving Reverse Layup (4 PTS) (Ellington 1 AST),11-12,11,12
0021600350,2016-12-10,CHI,MIA,4.6,1,7,24,CHI,CHI,fg_make,78,False,False,Wade 14' Floating Jump Shot (5 PTS),,13-12,13,12
0021600350,2016-12-10,CHI,MIA,4.8,1,7,12,MIA,MIA,tov,1,False,True,,Dragic Bad Pass Turnover (P1.T1),13-12,13,12
0021600350,2016-12-10,CHI,MIA,4.8,1,7,12,MIA,CHI,steal,1,False,True,steal,steal,13-12,13,12
0021600350,2016-12-10,CHI,MIA,4.85,1,7,9,CHI,CHI,tov,45,False,False,Wade Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,13-12,13,12
0021600350,2016-12-10,CHI,MIA,5.05,1,6,57,MIA,MIA,fg_miss,1,False,False,,MISS McRoberts 20' Jump Shot,13-12,13,12
0021600350,2016-12-10,CHI,MIA,5.07,1,6,56,MIA,MIA,reb,0,False,False,,Dragic REBOUND (Off:1 Def:0),13-12,13,12
0021600350,2016-12-10,CHI,MIA,5.3,1,6,42,MIA,MIA,fg_miss,86,False,False,,MISS Whiteside 7' Turnaround Fadeaway Shot,13-12,13,12
0021600350,2016-12-10,CHI,MIA,5.32,1,6,41,CHI,CHI,reb,0,False,False,Gibson REBOUND (Off:1 Def:2),,13-12,13,12
0021600350,2016-12-10,CHI,MIA,5.43,1,6,34,CHI,CHI,fg_make,79,False,False,Butler 18' Pullup Jump Shot (4 PTS),,15-12,15,12
0021600350,2016-12-10,CHI,MIA,5.78,1,6,13,MIA,MIA,fg_miss,1,True,False,,MISS Ellington 20' Jump Shot,15-12,15,12
0021600350,2016-12-10,CHI,MIA,5.78,1,6,13,MIA,CHI,block,1,True,False,block,block,15-12,15,12
0021600350,2016-12-10,CHI,MIA,5.8,1,6,12,MIA,MIA,reb,0,False,False,,Ellington REBOUND (Off:1 Def:1),15-12,15,12
0021600350,2016-12-10,CHI,MIA,5.95,1,6,3,MIA,MIA,fg3_make,1,False,False,,McRoberts 25' 3PT Jump Shot (3 PTS) (Ellington 2 AST),15-15,15,15
0021600350,2016-12-10,CHI,MIA,6.22,1,5,47,CHI,CHI,fg_miss,1,False,False,MISS Lopez 18' Jump Shot,,15-15,15,15
0021600350,2016-12-10,CHI,MIA,6.25,1,5,45,MIA,MIA,reb,0,False,False,,McRoberts REBOUND (Off:0 Def:2),15-15,15,15
0021600350,2016-12-10,CHI,MIA,6.43,1,5,34,MIA,CHI,foul,2,False,False,Gibson S.FOUL (P1.T1) (K.Cutler),,15-15,15,15
0021600350,2016-12-10,CHI,MIA,6.43,1,5,34,CHI,CHI,timeout,1,False,False,BULLS Timeout: Regular (Full 1 Short 0),,15-15,15,15
0021600350,2016-12-10,CHI,MIA,6.43,1,5,34,CHI,MIA,ft_make,11,False,False,,Whiteside Free Throw 1 of 2 (9 PTS),15-16,15,16
0021600350,2016-12-10,CHI,MIA,6.43,1,5,34,MIA,MIA,ft_miss,12,False,False,,MISS Whiteside Free Throw 2 of 2,15-16,15,16
0021600350,2016-12-10,CHI,MIA,6.45,1,5,33,CHI,CHI,reb,0,False,False,Lopez REBOUND (Off:2 Def:2),,15-16,15,16
0021600350,2016-12-10,CHI,MIA,6.7,1,5,18,CHI,CHI,fg_miss,47,False,False,MISS Butler 13' Turnaround Jump Shot,,15-16,15,16
0021600350,2016-12-10,CHI,MIA,6.72,1,5,17,MIA,MIA,reb,0,False,False,,Whiteside REBOUND (Off:2 Def:2),15-16,15,16
0021600350,2016-12-10,CHI,MIA,6.93,1,5,4,MIA,MIA,fg_miss,42,True,False,,MISS Dragic 2' Driving Layup,15-16,15,16
0021600350,2016-12-10,CHI,MIA,6.93,1,5,4,MIA,CHI,block,42,True,False,block,block,15-16,15,16
0021600350,2016-12-10,CHI,MIA,6.97,1,5,2,CHI,CHI,reb,0,False,False,Rondo REBOUND (Off:0 Def:1),,15-16,15,16
0021600350,2016-12-10,CHI,MIA,7.07,1,4,56,CHI,CHI,fg_make,42,False,False,Butler 2' Driving Layup (6 PTS) (Rondo 1 AST),,17-16,17,16
