date,team,pts,ppm,poss,tov_rate,reb_rate,oreb_rate,dreb_rate,efpg,tsp,off_eff,def_eff
2021-12-13,MEM,110.44444444444444,2.2842563475425113,102.72222222222223,0.13439791946843532,0.5205130161715813,0.3605356911347352,0.6876472028671665,0.5169185314952803,0.4914046289195313,1.0779926214219946,1.071552503633872
2021-12-15,MEM,111.0,2.296425763701707,102.80357142857143,0.1333394903717735,0.5217645354352947,0.35733203549897086,0.6925001388992215,0.5201264972645098,0.49394374931526236,1.0823500277997804,1.0642351523136147
2021-12-17,MEM,111.06896551724138,2.2984168293211886,102.8103448275862,0.1340981219391345,0.5228918081976829,0.3545480254707598,0.6960793167404999,0.520904305180536,0.4943065264324701,1.082858212311539,1.062020147061421
2021-12-19,MEM,111.5,2.3079140461215935,102.86666666666666,0.1337749150036833,0.5229908168899441,0.35485097007627997,0.6952810444338494,0.521238422842903,0.49449630888472107,1.0863163675949343,1.0601122984592142
2021-12-20,MEM,111.12903225806451,2.3006695069993914,102.79032258064517,0.13202740129549195,0.5195871043501181,0.35345175845562793,0.6912858033691629,0.5184264070759039,0.49244915320323396,1.083371480757094,1.0596175830057875
2021-12-23,MEM,110.75,2.2932267099056602,102.84375,0.1314900617514193,0.5187188597981933,0.353296542519041,0.6903304434424481,0.5159941462112176,0.4906291961130013,1.0791213851413297,1.0570069258813541
2021-12-26,MEM,110.54545454545455,2.2893915570802363,102.72727272727273,0.13148470022298633,0.5178545330901078,0.3532527640139747,0.6889820461664142,0.514499374103807,0.4895840795907041,1.0782542234856847,1.0595647202914387
2021-12-27,MEM,111.02941176470588,2.299875138734739,102.82352941176471,0.13094713689789295,0.5198928104493032,0.35679486538198474,0.6896454701479451,0.5145140983948715,0.48955106367514034,1.0817794877227873,1.0567029388400258
2021-12-29,MEM,111.11428571428571,2.302021563342318,102.78571428571429,0.13255413636442748,0.5209117460237677,0.3584019686070957,0.6893483219442571,0.5162097994796934,0.4910740945089119,1.0829615797695535,1.0583200118049059
2021-12-31,MEM,110.91666666666667,2.2982617051013277,102.72222222222223,0.13246522240516131,0.520330864189774,0.35787096154261294,0.6892969796680277,0.5149425338078718,0.4901037127413641,1.081624476738365,1.0562854177788161
2022-01-03,MEM,111.10810810810811,2.302587965323814,102.71621621621621,0.13152186438366387,0.520926594383454,0.3584504043340987,0.6895862504878107,0.5153335941024126,0.49037117996457047,1.0835054236426016,1.0554233860524276
